"","Treatment","X"
"1","I",93
"2","I",97
"3","I",107
"4","I",108
"5","I",113
"6","I",114
"7","I",119
"8","I",136
"9","I",137
"10","I",138
"11","I",139
"12","I",152
"13","I",154
"14","I",154
"15","I",160
"16","I",164
"17","I",164
"18","I",166
"19","I",168
"20","I",178
"21","I",179
"22","I",181
"23","I",181
"24","I",183
"25","I",185
"26","I",194
"27","I",198
"28","I",212
"29","I",213
"30","I",216
"31","I",220
"32","I",225
"33","I",225
"34","I",244
"35","I",253
"36","I",256
"37","I",259
"38","I",265
"39","I",268
"40","I",268
"41","I",270
"42","I",283
"43","I",289
"44","I",291
"45","I",311
"46","I",315
"47","I",326
"48","I",326
"49","I",361
"50","I",373
"51","I",373
"52","I",376
"53","I",397
"54","I",398
"55","I",406
"56","I",452
"57","I",466
"58","I",592
"59","I",598
"60","II",72
"61","II",78
"62","II",83
"63","II",85
"64","II",99
"65","II",99
"66","II",110
"67","II",113
"68","II",113
"69","II",114
"70","II",114
"71","II",118
"72","II",119
"73","II",123
"74","II",124
"75","II",131
"76","II",133
"77","II",135
"78","II",137
"79","II",140
"80","II",142
"81","II",144
"82","II",145
"83","II",154
"84","II",156
"85","II",157
"86","II",162
"87","II",162
"88","II",164
"89","II",165
"90","II",167
"91","II",171
"92","II",176
"93","II",177
"94","II",181
"95","II",182
"96","II",187
"97","II",192
"98","II",196
"99","II",211
"100","II",214
"101","II",216
"102","II",216
"103","II",218
"104","II",228
"105","II",238
"106","II",242
"107","II",248
"108","II",256
"109","II",257
"110","II",262
"111","II",264
"112","II",267
"113","II",267
"114","II",270
"115","II",286
"116","II",303
"117","II",309
"118","II",324
"119","II",326
"120","II",334
"121","II",335
"122","II",358
"123","II",409
"124","II",473
"125","II",550
"126","III",33
"127","III",44
"128","III",56
"129","III",59
"130","III",72
"131","III",74
"132","III",77
"133","III",92
"134","III",93
"135","III",96
"136","III",100
"137","III",100
"138","III",102
"139","III",105
"140","III",107
"141","III",107
"142","III",108
"143","III",108
"144","III",108
"145","III",109
"146","III",112
"147","III",113
"148","III",115
"149","III",116
"150","III",120
"151","III",121
"152","III",122
"153","III",122
"154","III",124
"155","III",130
"156","III",134
"157","III",136
"158","III",139
"159","III",144
"160","III",146
"161","III",153
"162","III",159
"163","III",160
"164","III",163
"165","III",163
"166","III",168
"167","III",171
"168","III",172
"169","III",176
"170","III",183
"171","III",195
"172","III",196
"173","III",197
"174","III",202
"175","III",213
"176","III",215
"177","III",216
"178","III",222
"179","III",230
"180","III",231
"181","III",240
"182","III",245
"183","III",251
"184","III",253
"185","III",254
"186","III",254
"187","III",278
"188","III",293
"189","III",327
"190","III",342
"191","III",347
"192","III",361
"193","III",402
"194","III",432
"195","III",458
"196","III",555
"197","IV",45
"198","IV",53
"199","IV",56
"200","IV",56
"201","IV",57
"202","IV",58
"203","IV",66
"204","IV",67
"205","IV",73
"206","IV",74
"207","IV",79
"208","IV",80
"209","IV",80
"210","IV",81
"211","IV",81
"212","IV",81
"213","IV",82
"214","IV",83
"215","IV",83
"216","IV",84
"217","IV",88
"218","IV",89
"219","IV",91
"220","IV",91
"221","IV",92
"222","IV",92
"223","IV",97
"224","IV",99
"225","IV",99
"226","IV",100
"227","IV",100
"228","IV",101
"229","IV",102
"230","IV",102
"231","IV",102
"232","IV",103
"233","IV",104
"234","IV",107
"235","IV",108
"236","IV",109
"237","IV",113
"238","IV",114
"239","IV",118
"240","IV",121
"241","IV",123
"242","IV",126
"243","IV",128
"244","IV",137
"245","IV",138
"246","IV",139
"247","IV",144
"248","IV",145
"249","IV",147
"250","IV",156
"251","IV",162
"252","IV",174
"253","IV",178
"254","IV",179
"255","IV",184
"256","IV",191
"257","IV",198
"258","IV",211
"259","IV",214
"260","IV",243
"261","IV",249
"262","IV",329
"263","IV",380
"264","IV",403
"265","IV",511
"266","IV",522
"267","IV",598
"268","V",15
"269","V",22
"270","V",24
"271","V",24
"272","V",32
"273","V",32
"274","V",33
"275","V",34
"276","V",38
"277","V",38
"278","V",43
"279","V",44
"280","V",48
"281","V",52
"282","V",53
"283","V",54
"284","V",54
"285","V",55
"286","V",56
"287","V",57
"288","V",58
"289","V",58
"290","V",59
"291","V",60
"292","V",60
"293","V",60
"294","V",60
"295","V",61
"296","V",62
"297","V",63
"298","V",65
"299","V",65
"300","V",67
"301","V",68
"302","V",70
"303","V",70
"304","V",72
"305","V",73
"306","V",75
"307","V",76
"308","V",76
"309","V",81
"310","V",83
"311","V",84
"312","V",85
"313","V",87
"314","V",91
"315","V",95
"316","V",96
"317","V",98
"318","V",99
"319","V",109
"320","V",110
"321","V",121
"322","V",127
"323","V",129
"324","V",131
"325","V",143
"326","V",146
"327","V",146
"328","V",175
"329","V",175
"330","V",211
"331","V",233
"332","V",258
"333","V",258
"334","V",263
"335","V",297
"336","V",341
"337","V",341
"338","V",376
